Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/02/2014,0.000536252,2.16999E-05,0.006583766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/2014,0.005344256,0.004948083,-0.000181717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2014,0.003762731,0.002782689,0.002362368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/03/2014,-0.00768154,-0.007378511,-0.009245804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/03/2014,0.015541328,0.015267701,0.005672427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/03/2014,-0.000429245,-5.3351E-05,-0.00236532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/03/2014,0.003136967,0.001718408,0.004559557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/03/2014,0.002077165,0.000538089,-0.0056282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2014,-0.000376653,-0.000463246,0.001278059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2014,-0.005887158,-0.005082139,-0.006199856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2014,-0.001014982,0.000305171,0.001467927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2014,-0.0110183,-0.011701095,0.00109926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2014,-0.002673906,-0.002821778,0.000366037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2014,0.010783673,0.009613635,0.005488466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2014,0.00552076,0.007219619,0.001819547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2014,-0.006092423,-0.006131649,-0.005811838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2014,0.007633789,0.006040505,0.00347093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2014,-0.000645474,-0.002932671,0.004915342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2014,-0.00247959,-0.00486471,-0.004528976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2014,0.00572839,0.00440394,-0.006551416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2014,-0.004155107,-0.007000319,-0.002198194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
